Frame 0: X=822, Y=793, Radius=43, VelocityVer=1.27, VelocityHor=-0.15, DetectionNum=0
Frame 1: X=751, Y=1192, Radius=43, VelocityVer=1.27, VelocityHor=-0.15, DetectionNum=0
Frame 2: X=679, Y=1589, Radius=43, VelocityVer=1.27, VelocityHor=-0.15, DetectionNum=0
Frame 32: X=595, Y=452, Radius=20, VelocityVer=1.2, VelocityHor=-0.15, DetectionNum=1
Frame 33: X=523, Y=905, Radius=20, VelocityVer=1.2, VelocityHor=-0.15, DetectionNum=1
Frame 34: X=451, Y=1357, Radius=20, VelocityVer=1.2, VelocityHor=-0.15, DetectionNum=1
Frame 32: X=595, Y=452, Radius=20, VelocityVer=1.0, VelocityHor=-0.15, DetectionNum=2
Frame 33: X=523, Y=905, Radius=20, VelocityVer=1.0, VelocityHor=-0.15, DetectionNum=2
Frame 35: X=379, Y=1810, Radius=20, VelocityVer=1.0, VelocityHor=-0.15, DetectionNum=2
Frame 32: X=595, Y=452, Radius=20, VelocityVer=1.83, VelocityHor=-0.15, DetectionNum=3
Frame 34: X=451, Y=1357, Radius=20, VelocityVer=1.83, VelocityHor=-0.15, DetectionNum=3
Frame 35: X=379, Y=1810, Radius=20, VelocityVer=1.83, VelocityHor=-0.15, DetectionNum=3
Frame 32: X=936, Y=432, Radius=60, VelocityVer=0.38, VelocityHor=-0.15, DetectionNum=4
Frame 33: X=864, Y=864, Radius=60, VelocityVer=0.38, VelocityHor=-0.15, DetectionNum=4
Frame 34: X=792, Y=1297, Radius=60, VelocityVer=0.38, VelocityHor=-0.15, DetectionNum=4
Frame 32: X=936, Y=432, Radius=60, VelocityVer=0.38, VelocityHor=-0.15, DetectionNum=5
Frame 33: X=864, Y=864, Radius=60, VelocityVer=0.38, VelocityHor=-0.15, DetectionNum=5
Frame 35: X=719, Y=1728, Radius=60, VelocityVer=0.38, VelocityHor=-0.15, DetectionNum=5
Frame 32: X=936, Y=432, Radius=60, VelocityVer=1.17, VelocityHor=-0.15, DetectionNum=6
Frame 34: X=792, Y=1297, Radius=60, VelocityVer=1.17, VelocityHor=-0.15, DetectionNum=6
Frame 35: X=719, Y=1728, Radius=60, VelocityVer=1.17, VelocityHor=-0.15, DetectionNum=6
Frame 33: X=523, Y=905, Radius=20, VelocityVer=2.3, VelocityHor=-0.15, DetectionNum=7
Frame 34: X=451, Y=1357, Radius=20, VelocityVer=2.3, VelocityHor=-0.15, DetectionNum=7
Frame 35: X=379, Y=1810, Radius=20, VelocityVer=2.3, VelocityHor=-0.15, DetectionNum=7
Frame 33: X=864, Y=864, Radius=60, VelocityVer=1.44, VelocityHor=-0.15, DetectionNum=8
Frame 34: X=792, Y=1297, Radius=60, VelocityVer=1.44, VelocityHor=-0.15, DetectionNum=8
Frame 35: X=719, Y=1728, Radius=60, VelocityVer=1.44, VelocityHor=-0.15, DetectionNum=8
Frame 36: X=622, Y=463, Radius=27, VelocityVer=1.21, VelocityHor=-0.15, DetectionNum=9
Frame 37: X=551, Y=929, Radius=27, VelocityVer=1.21, VelocityHor=-0.15, DetectionNum=9
Frame 38: X=479, Y=1393, Radius=27, VelocityVer=1.21, VelocityHor=-0.15, DetectionNum=9
Frame 36: X=622, Y=463, Radius=27, VelocityVer=1.01, VelocityHor=-0.15, DetectionNum=10
Frame 37: X=551, Y=929, Radius=27, VelocityVer=1.01, VelocityHor=-0.15, DetectionNum=10
Frame 39: X=407, Y=1859, Radius=27, VelocityVer=1.01, VelocityHor=-0.15, DetectionNum=10
Frame 36: X=622, Y=463, Radius=27, VelocityVer=1.85, VelocityHor=-0.15, DetectionNum=11
Frame 38: X=479, Y=1393, Radius=27, VelocityVer=1.85, VelocityHor=-0.15, DetectionNum=11
Frame 39: X=407, Y=1859, Radius=27, VelocityVer=1.85, VelocityHor=-0.15, DetectionNum=11
Frame 36: X=302, Y=375, Radius=61, VelocityVer=0.99, VelocityHor=0.45, DetectionNum=12
Frame 37: X=519, Y=753, Radius=61, VelocityVer=0.99, VelocityHor=0.45, DetectionNum=12
Frame 39: X=951, Y=1506, Radius=61, VelocityVer=0.99, VelocityHor=0.45, DetectionNum=12
Frame 36: X=302, Y=375, Radius=61, VelocityVer=1.24, VelocityHor=0.45, DetectionNum=13
Frame 38: X=735, Y=1129, Radius=61, VelocityVer=1.24, VelocityHor=0.45, DetectionNum=13
Frame 39: X=951, Y=1506, Radius=61, VelocityVer=1.24, VelocityHor=0.45, DetectionNum=13
Frame 37: X=551, Y=929, Radius=27, VelocityVer=2.33, VelocityHor=-0.15, DetectionNum=14
