Frame 32: X=780, Y=452, Radius=20, VelocityVer=0.68, VelocityHor=-0.32, DetectionNum=0
Frame 33: X=564, Y=905, Radius=20, VelocityVer=0.68, VelocityHor=-0.32, DetectionNum=0
Frame 34: X=348, Y=1357, Radius=20, VelocityVer=0.68, VelocityHor=-0.32, DetectionNum=0
Frame 32: X=780, Y=452, Radius=20, VelocityVer=0.55, VelocityHor=-0.32, DetectionNum=1
Frame 33: X=564, Y=905, Radius=20, VelocityVer=0.55, VelocityHor=-0.32, DetectionNum=1
Frame 35: X=132, Y=1810, Radius=20, VelocityVer=0.55, VelocityHor=-0.32, DetectionNum=1
Frame 32: X=780, Y=452, Radius=20, VelocityVer=1.29, VelocityHor=-0.32, DetectionNum=2
Frame 34: X=348, Y=1357, Radius=20, VelocityVer=1.29, VelocityHor=-0.32, DetectionNum=2
Frame 35: X=132, Y=1810, Radius=20, VelocityVer=1.29, VelocityHor=-0.32, DetectionNum=2
Frame 33: X=564, Y=905, Radius=20, VelocityVer=1.66, VelocityHor=-0.32, DetectionNum=3
Frame 34: X=348, Y=1357, Radius=20, VelocityVer=1.66, VelocityHor=-0.32, DetectionNum=3
Frame 35: X=132, Y=1810, Radius=20, VelocityVer=1.66, VelocityHor=-0.32, DetectionNum=3
Frame 36: X=317, Y=376,  Radius=61, VelocityVer=0.86, VelocityHor=0.11, DetectionNum=4
Frame 37: X=390, Y=752, Radius=61, VelocityVer=0.86, VelocityHor=0.11, DetectionNum=4
Frame 38: X=462, Y=1128, Radius=61, VelocityVer=0.86, VelocityHor=0.11, DetectionNum=4
Frame 36: X=317, Y=376, Radius=61, VelocityVer=0.73, VelocityHor=0.11, DetectionNum=5
Frame 37: X=390, Y=752, Radius=61, VelocityVer=0.73, VelocityHor=0.11, DetectionNum=5
Frame 39: X=534, Y=1506, Radius=61, VelocityVer=0.73, VelocityHor=0.11, DetectionNum=5
Frame 36: X=317, Y=376, Radius=61, VelocityVer=1.07, VelocityHor=0.11, DetectionNum=6
Frame 38: X=462, Y=1128, Radius=61, VelocityVer=1.07, VelocityHor=0.11, DetectionNum=6
Frame 39: X=534, Y=1506, Radius=61, VelocityVer=1.07, VelocityHor=0.11, DetectionNum=6
Frame 37: X=390, Y=752, Radius=61, VelocityVer=1.31, VelocityHor=0.11, DetectionNum=7
Frame 38: X=462, Y=1128, Radius=61, VelocityVer=1.31, VelocityHor=0.11, DetectionNum=7
Frame 39: X=534, Y=1506, Radius=61, VelocityVer=1.31, VelocityHor=0.11, DetectionNum=7
Frame 39: X=833, Y=485, Radius=28, VelocityVer=0.51, VelocityHor=0.11, DetectionNum=8
Frame 40: X=905, Y=970, Radius=28, VelocityVer=0.51, VelocityHor=0.11, DetectionNum=8
Frame 41: X=977, Y=1455, Radius=28, VelocityVer=0.51, VelocityHor=0.11, DetectionNum=8
Frame 39: X=469, Y=448, Radius=68, VelocityVer=0.91, VelocityHor=0.11, DetectionNum=9
Frame 40: X=540, Y=898, Radius=68, VelocityVer=0.91, VelocityHor=0.11, DetectionNum=9
Frame 41: X=613, Y=1348, Radius=68, VelocityVer=0.91, VelocityHor=0.11, DetectionNum=9
Frame 39: X=469, Y=448, Radius=68, VelocityVer=0.78, VelocityHor=0.11, DetectionNum=10
Frame 40: X=540, Y=898, Radius=68, VelocityVer=0.78, VelocityHor=0.11, DetectionNum=10
Frame 42: X=685, Y=1798, Radius=68, VelocityVer=0.78, VelocityHor=0.11, DetectionNum=10
Frame 39: X=469, Y=448, Radius=68, VelocityVer=1.2, VelocityHor=0.11, DetectionNum=11
Frame 41: X=613, Y=1348, Radius=68, VelocityVer=1.2, VelocityHor=0.11, DetectionNum=11
Frame 42: X=685, Y=1798, Radius=68, VelocityVer=1.2, VelocityHor=0.11, DetectionNum=11
Frame 40: X=540, Y=898, Radius=68, VelocityVer=1.47, VelocityHor=0.11, DetectionNum=12
Frame 41: X=613, Y=1348, Radius=68, VelocityVer=1.47, VelocityHor=0.11, DetectionNum=12
Frame 42: X=685, Y=1798, Radius=68, VelocityVer=1.47, VelocityHor=0.11, DetectionNum=12
Frame 44: X=859, Y=502, Radius=54, VelocityVer=0.53, VelocityHor=0.11, DetectionNum=13
Frame 45: X=930, Y=1004, Radius=54, VelocityVer=0.53, VelocityHor=0.11, DetectionNum=13
Frame 46: X=1002, Y=1506, Radius=54, VelocityVer=0.53, VelocityHor=0.11, DetectionNum=13
Frame 47: X=831, Y=584, Radius=61, VelocityVer=1.09, VelocityHor=-0.32, DetectionNum=14
Frame 48: X=616, Y=1170, Radius=61, VelocityVer=1.09, VelocityHor=-0.32, DetectionNum=14
