Frame 0: X=1339, Y=1066, Radius=13
Frame 0: X=1531, Y=1054, Radius=70
Frame 0: X=286, Y=1059, Radius=19
Frame 0: X=1566, Y=1031, Radius=21
Frame 0: X=1407, Y=1043, Radius=54
Frame 0: X=1110, Y=1051, Radius=28
Frame 0: X=110, Y=1050, Radius=28
Frame 0: X=1486, Y=1023, Radius=30
Frame 0: X=1753, Y=1048, Radius=30
Frame 0: X=1489, Y=1017, Radius=29
Frame 0: X=1369, Y=1018, Radius=14
Frame 0: X=1414, Y=1009, Radius=29
Frame 0: X=1668, Y=991, Radius=15
Frame 0: X=666, Y=1012, Radius=28
Frame 0: X=1663, Y=983, Radius=52
Frame 0: X=1365, Y=991, Radius=14
Frame 0: X=661, Y=1027, Radius=52
Frame 0: X=972, Y=975, Radius=54
Frame 0: X=772, Y=1025, Radius=110
Frame 0: X=972, Y=969, Radius=52
Frame 0: X=469, Y=1019, Radius=59
Frame 0: X=1659, Y=1017, Radius=101
Frame 0: X=1221, Y=943, Radius=22
Frame 0: X=288, Y=989, Radius=48
Frame 0: X=677, Y=942, Radius=24
Frame 0: X=1587, Y=1001, Radius=69
Frame 0: X=627, Y=938, Radius=22
Frame 0: X=1526, Y=936, Radius=30
Frame 0: X=1438, Y=928, Radius=15
Frame 0: X=113, Y=969, Radius=45
Frame 0: X=1345, Y=990, Radius=72
Frame 0: X=1367, Y=938, Radius=20
Frame 0: X=313, Y=916, Radius=39
Frame 0: X=875, Y=918, Radius=74
Frame 0: X=1175, Y=925, Radius=17
Frame 0: X=313, Y=911, Radius=36
Frame 0: X=878, Y=912, Radius=78
Frame 0: X=1152, Y=907, Radius=17
Frame 0: X=1269, Y=911, Radius=84
Frame 0: X=553, Y=922, Radius=64
Frame 0: X=564, Y=897, Radius=33
Frame 0: X=207, Y=900, Radius=24
Frame 0: X=1061, Y=906, Radius=63
Frame 0: X=1100, Y=1009, Radius=230
Frame 0: X=502, Y=892, Radius=26
Frame 0: X=576, Y=891, Radius=36
Frame 0: X=957, Y=889, Radius=28
Frame 0: X=508, Y=887, Radius=30
Frame 0: X=884, Y=886, Radius=42
Frame 0: X=421, Y=895, Radius=421
Frame 0: X=763, Y=875, Radius=67
Frame 0: X=654, Y=883, Radius=40
Frame 0: X=633, Y=866, Radius=46
Frame 0: X=505, Y=878, Radius=79
Frame 0: X=476, Y=854, Radius=56
Frame 0: X=380, Y=856, Radius=25
Frame 0: X=1727, Y=841, Radius=11
Frame 0: X=1661, Y=807, Radius=24
Frame 0: X=616, Y=804, Radius=34
Frame 0: X=1436, Y=803, Radius=33
Frame 0: X=109, Y=807, Radius=41
Frame 0: X=1317, Y=798, Radius=54
Frame 0: X=1186, Y=790, Radius=33
Frame 0: X=535, Y=809, Radius=27
Frame 0: X=244, Y=785, Radius=33
Frame 0: X=410, Y=799, Radius=109
Frame 0: X=960, Y=778, Radius=73
Frame 0: X=992, Y=923, Radius=767
Frame 0: X=762, Y=768, Radius=31
Frame 0: X=1623, Y=782, Radius=30
Frame 0: X=1498, Y=771, Radius=31
Frame 0: X=1380, Y=766, Radius=32
Frame 0: X=955, Y=741, Radius=18
Frame 0: X=1215, Y=754, Radius=63
Frame 0: X=1148, Y=751, Radius=27
Frame 0: X=1735, Y=780, Radius=57
Frame 0: X=957, Y=742, Radius=33
Frame 0: X=1117, Y=723, Radius=24
Frame 0: X=954, Y=723, Radius=25
Frame 0: X=1069, Y=721, Radius=21
Frame 0: X=1012, Y=719, Radius=34
Frame 0: X=1180, Y=661, Radius=89
Frame 0: X=476, Y=675, Radius=43
Frame 0: X=479, Y=600, Radius=30
Frame 0: X=626, Y=627, Radius=75
Frame 0: X=882, Y=520, Radius=22
Frame 0: X=865, Y=516, Radius=18
Frame 0: X=893, Y=505, Radius=14
Frame 0: X=876, Y=494, Radius=5
Frame 0: X=828, Y=511, Radius=28
Frame 0: X=817, Y=510, Radius=29
Frame 0: X=843, Y=511, Radius=33
Frame 0: X=806, Y=510, Radius=32
Frame 0: X=860, Y=465, Radius=15
Frame 0: X=896, Y=451, Radius=7
Frame 0: X=563, Y=473, Radius=33
Frame 0: X=555, Y=473, Radius=33
Frame 0: X=548, Y=473, Radius=33
Frame 0: X=568, Y=472, Radius=33
Frame 0: X=540, Y=472, Radius=33
Frame 0: X=533, Y=472, Radius=33
Frame 0: X=863, Y=442, Radius=10
Frame 0: X=552, Y=473, Radius=60
Frame 0: X=560, Y=423, Radius=20
Frame 0: X=849, Y=424, Radius=10
Frame 0: X=874, Y=443, Radius=33
Frame 0: X=834, Y=443, Radius=33
Frame 0: X=810, Y=442, Radius=32
Frame 0: X=850, Y=476, Radius=90
Frame 0: X=627, Y=470, Radius=73
Frame 0: X=1739, Y=414, Radius=74
Frame 0: X=882, Y=347, Radius=27
Frame 0: X=631, Y=302, Radius=44
Frame 0: X=485, Y=412, Radius=156
Frame 0: X=873, Y=246, Radius=23
Frame 0: X=1149, Y=247, Radius=31
Frame 0: X=1766, Y=374, Radius=137
Frame 0: X=1205, Y=229, Radius=30
Frame 0: X=1031, Y=229, Radius=13
Frame 0: X=1085, Y=230, Radius=28
Frame 0: X=1585, Y=223, Radius=36
Frame 0: X=1135, Y=222, Radius=18
Frame 0: X=1186, Y=441, Radius=617
Frame 0: X=1189, Y=223, Radius=25
Frame 0: X=1330, Y=217, Radius=16
Frame 0: X=1297, Y=217, Radius=13
Frame 0: X=1409, Y=214, Radius=20
Frame 0: X=758, Y=230, Radius=21
Frame 0: X=539, Y=264, Radius=63
Frame 0: X=1773, Y=220, Radius=19
Frame 0: X=950, Y=228, Radius=32
Frame 0: X=916, Y=180, Radius=13
Frame 0: X=1030, Y=161, Radius=13
Frame 0: X=1283, Y=156, Radius=133
Frame 0: X=809, Y=149, Radius=43
Frame 0: X=1703, Y=146, Radius=19
Frame 0: X=1453, Y=145, Radius=21
Frame 0: X=1209, Y=139, Radius=268
Frame 0: X=1673, Y=126, Radius=64
Frame 0: X=1544, Y=125, Radius=64
Frame 0: X=1746, Y=138, Radius=19
Frame 0: X=972, Y=121, Radius=6
Frame 0: X=1642, Y=115, Radius=102
Frame 0: X=1236, Y=107, Radius=9
Frame 0: X=1120, Y=109, Radius=6
Frame 0: X=1012, Y=111, Radius=15
Frame 0: X=1159, Y=107, Radius=13
Frame 0: X=1327, Y=93, Radius=11
Frame 0: X=950, Y=95, Radius=19
Frame 0: X=1240, Y=86, Radius=12
Frame 0: X=1402, Y=112, Radius=117
Frame 0: X=1514, Y=72, Radius=9
Frame 0: X=1368, Y=83, Radius=24
Frame 0: X=1256, Y=67, Radius=11
Frame 0: X=1347, Y=68, Radius=11
Frame 0: X=757, Y=111, Radius=55
Frame 0: X=1117, Y=67, Radius=12
